2023-08-12 18:21:18 | INFO   | usr | empathicone2 <@454739909295734804> left!
2023-08-12 18:21:30 | INFO   | usr | empathicone2 <@454739909295734804> joined!
2023-08-12 18:21:34 | INFO   | usr | empathicone2 <@454739909295734804> left!
2023-08-12 19:46:57 | INFO   | usr | empathicone2 <@454739909295734804> joined!
2023-08-12 21:01:51 | INFO   | usr | empathicone2 <@454739909295734804> joined!
2023-08-14 10:13:05 | INFO   | usr | empathicone2 <@454739909295734804> left!
2023-08-14 10:13:20 | INFO   | usr | empathicone2 <@454739909295734804> joined!
2023-08-14 11:11:33 | INFO   | usr | empathicone2 <@454739909295734804> left!
2023-08-14 11:11:59 | INFO   | usr | empathicone2 <@454739909295734804> joined!
2023-08-14 14:28:52 | INFO   | usr | empathicone2 <@454739909295734804> left!
2023-08-14 14:29:15 | INFO   | usr | empathicone2 <@454739909295734804> joined!
